lat_dec, lon_dec, elev [m] 
-38.644,176.231,339.47
-38.652,175.978,584.02
-38.650,176.045,549.41
-38.648,176.112,463.50
-38.646,176.180,405.31
-38.644,176.247,340.45
-38.652,175.993,618.63
-38.650,176.061,442.42
-38.648,176.128,483.15
-38.646,176.195,375.52
-38.652,176.009,579.39
-38.650,176.076,406.08
-38.648,176.143,480.40
-38.646,176.211,354.27
-38.654,175.957,623.21
-38.652,176.024,542.06
-38.650,176.092,387.50
-38.648,176.159,451.53
-38.646,176.226,339.88
-38.654,175.973,632.46
-38.652,176.040,560.09
-38.650,176.107,426.84
-38.648,176.174,420.47
-38.646,176.241,367.78
-38.654,175.988,534.74
-38.652,176.055,505.02
-38.650,176.123,482.16
-38.648,176.190,401.92
-38.654,176.004,564.40
-38.652,176.071,420.31
-38.650,176.138,481.88
-38.649,176.205,372.23
-38.656,175.952,669.67
-38.654,176.019,540.25
-38.652,176.086,373.84
-38.651,176.154,458.24
-38.649,176.221,325.04
-38.656,175.967,617.93
-38.654,176.035,582.52
-38.653,176.102,409.17
-38.651,176.169,431.03
-38.649,176.236,397.63
-38.656,175.983,503.49
-38.654,176.050,518.85
-38.653,176.117,465.57
-38.651,176.184,412.85
-38.649,176.252,357.19
-38.656,175.998,596.41
-38.655,176.066,437.76
-38.653,176.133,484.19
-38.651,176.200,380.97
-38.658,175.947,638.06
-38.656,176.014,548.07
-38.655,176.081,411.50
-38.653,176.148,460.92
-38.651,176.215,346.21
-38.658,175.962,600.51
-38.657,176.029,599.90
-38.655,176.097,400.93
-38.653,176.164,436.43
-38.651,176.231,341.94
-38.658,175.978,505.33
-38.657,176.045,519.77
-38.655,176.112,433.18
-38.653,176.179,421.28
-38.651,176.246,371.30
-38.659,175.993,589.18
-38.657,176.060,476.97
-38.655,176.127,481.14
-38.653,176.195,387.37
-38.659,176.009,541.28
-38.657,176.076,412.51
-38.655,176.143,471.36
-38.653,176.210,362.66
-38.661,175.957,657.05
-38.659,176.024,520.53
-38.657,176.091,399.50
-38.655,176.158,437.68
-38.653,176.226,418.36
-38.661,175.972,536.95
-38.659,176.040,517.64
-38.657,176.107,414.82
-38.655,176.174,423.72
-38.653,176.241,389.52
-38.661,175.988,513.29
-38.659,176.055,491.10
-38.657,176.122,459.99
-38.655,176.189,410.38
-38.661,176.003,561.14
-38.659,176.070,442.20
-38.657,176.138,480.95
-38.655,176.205,377.61
-38.663,175.952,669.76
-38.661,176.019,520.89
-38.659,176.086,360.09
-38.657,176.153,444.87
-38.656,176.220,391.75
-38.663,175.967,499.39
-38.661,176.034,559.04
-38.659,176.101,410.87
-38.658,176.169,426.15
-38.656,176.236,369.40
-38.663,175.983,490.45
-38.661,176.050,498.16
-38.659,176.117,437.68
-38.658,176.184,420.64
-38.656,176.251,463.85
-38.663,175.998,581.01
-38.661,176.065,458.32
-38.660,176.132,481.20
-38.658,176.200,386.04
-38.665,175.946,556.79
-38.663,176.013,525.83
-38.662,176.081,360.20
-38.660,176.148,459.14
-38.658,176.215,339.69
-38.665,175.962,716.90
-38.663,176.029,574.61
-38.662,176.096,401.36
-38.660,176.163,437.12
-38.658,176.231,377.12
-38.665,175.977,485.76
-38.664,176.044,499.57
-38.662,176.112,423.30
-38.660,176.179,421.06
-38.658,176.246,560.29
-38.665,175.993,540.34
-38.664,176.060,473.28
-38.662,176.127,463.73
-38.660,176.194,399.93
-38.666,176.008,512.67
-38.664,176.075,412.00
-38.662,176.143,460.10
-38.660,176.210,339.88
-38.667,175.956,787.47
-38.666,176.024,505.82
-38.664,176.091,395.68
-38.662,176.158,450.65
-38.660,176.225,441.33
-38.668,175.972,498.51
-38.666,176.039,503.81
-38.664,176.106,426.02
-38.662,176.174,433.48
-38.660,176.241,448.82
-38.668,175.987,523.77
-38.666,176.055,467.03
-38.664,176.122,441.29
-38.662,176.189,416.90
-38.668,176.003,499.17
-38.666,176.070,432.57
-38.664,176.137,460.03
-38.662,176.205,343.24
-38.670,175.951,703.01
-38.668,176.018,492.34
-38.666,176.086,360.51
-38.664,176.153,464.69
-38.662,176.220,428.14
-38.670,175.967,520.82
-38.668,176.034,519.73
-38.666,176.101,413.79
-38.664,176.168,459.94
-38.662,176.235,388.98
-38.670,175.982,476.11
-38.668,176.049,475.25
-38.666,176.117,439.93
-38.664,176.184,414.01
