# lat	lon	mean_z1	std_z1	mean_z2	std_z2
175.9500	-38.6195	265.90	534.27	304.85	563.94
175.9658	-38.6195	268.20	472.09	295.94	498.09
175.9816	-38.6195	278.02	402.30	277.38	418.73
175.9974	-38.6195	277.45	343.16	269.98	358.50
176.0132	-38.6195	267.43	290.28	278.80	314.08
176.0289	-38.6195	243.50	235.94	305.24	272.37
176.0447	-38.6195	205.86	157.44	324.11	203.23
176.0605	-38.6195	185.70	167.58	305.14	210.85
176.0763	-38.6195	190.80	176.78	325.63	225.87
176.0921	-38.6195	235.87	205.71	340.06	251.85
176.1079	-38.6195	308.60	241.22	332.83	281.53
176.1237	-38.6195	352.48	254.78	339.59	292.73
176.1395	-38.6195	368.06	265.02	344.74	303.16
176.1553	-38.6195	360.63	316.32	361.05	361.08
176.1711	-38.6195	358.51	350.91	359.45	395.51
176.1868	-38.6195	323.69	406.81	357.90	452.08
176.2026	-38.6195	310.95	456.93	355.59	501.60
176.2184	-38.6195	303.70	507.44	354.07	551.58
176.2342	-38.6195	298.80	559.29	353.45	603.15
176.2500	-38.6195	295.22	612.28	353.38	656.06
175.9500	-38.6079	265.28	547.73	305.55	577.92
175.9658	-38.6079	266.33	488.17	298.41	515.64
175.9816	-38.6079	269.31	425.86	287.79	448.90
175.9974	-38.6079	283.66	350.57	260.88	360.59
176.0132	-38.6079	259.66	314.13	283.18	339.27
176.0289	-38.6079	247.71	253.51	285.52	280.56
176.0447	-38.6079	231.79	195.24	309.10	236.03
176.0605	-38.6079	193.98	192.30	304.42	237.06
176.0763	-38.6079	210.08	206.80	306.76	258.20
176.0921	-38.6079	279.74	245.99	309.28	280.36
176.1079	-38.6079	337.42	263.46	314.96	297.28
176.1237	-38.6079	326.32	296.36	330.97	334.11
176.1395	-38.6079	373.69	296.77	339.66	336.36
176.1553	-38.6079	341.78	353.19	351.22	395.87
176.1711	-38.6079	333.19	391.88	353.74	435.57
176.1868	-38.6079	317.99	437.63	353.65	481.82
176.2026	-38.6079	308.61	484.32	353.15	528.47
176.2184	-38.6079	302.45	532.29	352.65	576.24
176.2342	-38.6079	298.08	581.70	352.40	625.48
176.2500	-38.6079	294.82	632.39	352.40	676.09
175.9500	-38.5963	264.47	567.74	307.30	598.84
175.9658	-38.5963	264.30	511.82	302.05	541.18
175.9816	-38.5963	263.93	455.95	295.93	483.31
175.9974	-38.5963	261.21	402.03	290.66	428.20
176.0132	-38.5963	251.97	346.72	283.14	371.70
176.0289	-38.5963	244.20	304.61	285.02	332.05
176.0447	-38.5963	234.83	275.73	294.93	310.87
176.0605	-38.5963	225.48	255.59	294.34	294.14
176.0763	-38.5963	242.15	265.64	294.44	299.93
176.0921	-38.5963	293.03	286.50	301.93	317.25
176.1079	-38.5963	310.08	309.21	314.59	343.13
176.1237	-38.5963	313.84	336.12	326.98	373.43
176.1395	-38.5963	317.45	363.93	337.41	404.12
176.1553	-38.5963	318.75	395.48	344.25	437.38
176.1711	-38.5963	316.12	431.28	348.04	474.15
176.1868	-38.5963	310.32	471.55	349.73	514.93
176.2026	-38.5963	304.73	514.73	350.44	558.30
176.2184	-38.5963	300.24	560.02	350.75	603.60
176.2342	-38.5963	296.73	607.05	350.97	650.61
176.2500	-38.5963	293.95	655.57	351.19	699.10
175.9500	-38.5847	263.90	593.14	309.48	625.24
175.9658	-38.5847	263.09	541.03	305.64	572.04
175.9816	-38.5847	261.67	490.23	301.64	520.21
175.9974	-38.5847	258.87	441.53	297.70	470.70
176.0132	-38.5847	254.56	394.69	292.27	422.49
176.0289	-38.5847	257.11	346.19	274.02	364.05
176.0447	-38.5847	248.79	333.18	292.56	363.08
176.0605	-38.5847	248.93	321.67	296.85	354.60
176.0763	-38.5847	257.85	327.31	305.21	362.61
176.0921	-38.5847	278.98	339.43	310.91	374.40
176.1079	-38.5847	307.85	350.61	311.05	382.84
176.1237	-38.5847	309.24	375.80	322.24	411.44
176.1395	-38.5847	305.73	406.22	333.88	445.76
176.1553	-38.5847	306.68	436.53	340.15	477.72
176.1711	-38.5847	306.01	470.16	344.11	512.31
176.1868	-38.5847	303.60	507.37	346.50	550.10
176.2026	-38.5847	300.53	547.65	347.92	590.69
176.2184	-38.5847	297.57	590.38	348.81	633.58
176.2342	-38.5847	294.96	635.13	349.41	678.39
176.2500	-38.5847	292.74	681.55	349.89	724.85
175.9500	-38.5732	263.74	622.91	311.76	655.95
175.9658	-38.5732	262.78	574.45	308.87	606.77
175.9816	-38.5732	261.40	528.02	305.99	559.70
175.9974	-38.5732	259.48	484.44	303.15	515.56
176.0132	-38.5732	257.51	444.73	300.00	475.04
176.0289	-38.5732	256.81	410.82	296.25	439.72
176.0447	-38.5732	256.88	388.18	296.51	418.06
176.0605	-38.5732	261.25	372.03	293.78	401.04
176.0763	-38.5732	264.68	382.46	308.91	417.39
176.0921	-38.5732	275.85	391.74	315.00	427.80
176.1079	-38.5732	288.52	404.92	319.49	441.24
176.1237	-38.5732	295.24	424.67	325.61	462.24
176.1395	-38.5732	297.32	450.06	332.48	489.50
176.1553	-38.5732	298.75	478.43	337.69	519.18
176.1711	-38.5732	299.06	510.00	341.42	551.64
176.1868	-38.5732	298.21	544.86	344.01	587.08
176.2026	-38.5732	296.65	582.69	345.78	625.28
176.2184	-38.5732	294.82	623.09	347.01	665.91
176.2342	-38.5732	293.01	665.65	347.91	708.61
176.2500	-38.5732	291.34	710.04	348.60	753.09
175.9500	-38.5616	263.94	656.21	313.98	690.08
175.9658	-38.5616	263.09	611.19	311.79	644.58
175.9816	-38.5616	262.03	568.72	309.70	601.69
175.9974	-38.5616	260.84	529.67	307.79	562.33
176.0132	-38.5616	259.86	495.26	306.18	527.66
176.0289	-38.5616	259.56	467.25	305.28	499.61
176.0447	-38.5616	260.48	447.42	305.73	480.26
176.0605	-38.5616	263.09	437.36	308.22	471.27
176.0763	-38.5616	267.72	437.69	313.30	473.27
176.0921	-38.5616	274.68	444.38	318.14	481.08
176.1079	-38.5616	282.09	456.30	322.62	493.80
176.1237	-38.5616	287.67	473.57	327.35	512.02
176.1395	-38.5616	291.05	495.72	332.13	535.27
176.1553	-38.5616	293.03	521.76	336.30	562.28
176.1711	-38.5616	293.94	551.25	339.62	592.52
176.1868	-38.5616	293.93	583.96	342.15	625.79
176.2026	-38.5616	293.26	619.61	344.05	661.83
176.2184	-38.5616	292.24	657.86	345.46	700.35
176.2342	-38.5616	291.06	698.36	346.54	741.04
176.2500	-38.5616	289.86	740.80	347.39	783.61
175.9500	-38.5500	264.40	692.36	316.10	726.95
175.9658	-38.5500	263.73	650.51	314.44	684.78
175.9816	-38.5500	263.02	611.55	312.94	645.58
175.9974	-38.5500	262.36	576.31	311.72	610.18
176.0132	-38.5500	261.98	545.81	310.93	579.67
176.0289	-38.5500	262.20	521.29	310.84	555.35
176.0447	-38.5500	263.34	503.87	311.74	538.42
176.0605	-38.5500	265.70	494.33	313.88	529.69
176.0763	-38.5500	269.40	492.52	317.12	528.85
176.0921	-38.5500	274.20	497.19	320.79	534.42
176.1079	-38.5500	279.24	507.39	324.55	545.41
176.1237	-38.5500	283.56	522.66	328.38	561.49
176.1395	-38.5500	286.73	542.54	332.13	582.18
176.1553	-38.5500	288.84	566.43	335.54	606.82
176.1711	-38.5500	290.04	593.89	338.44	634.92
176.1868	-38.5500	290.50	624.59	340.80	666.12
176.2026	-38.5500	290.40	658.22	342.68	700.14
176.2184	-38.5500	289.91	694.46	344.17	736.67
176.2342	-38.5500	289.21	733.02	345.35	775.44
176.2500	-38.5500	288.40	773.59	346.29	816.17
