latitude,longitude
-38.704406714,175.956669403
-38.704820620,175.957058101
-38.705082919,175.957442996
-38.705391043,175.957701448
-38.705704107,175.958148967
-38.706152796,175.958155792
-38.706601881,175.958225596
-38.707055086,175.958483879
-38.707410068,175.958802848
-38.707815189,175.959184317
-38.708219135,175.959564687
-38.708473322,175.959880092
-38.709162293,175.960073515
-38.709465198,175.960450094
-38.709847798,175.960265968
-38.710379663,175.960270012
-38.710639086,175.960892767
-38.710703761,175.961451750
-38.710770244,175.962072601
-38.710699646,175.962941787
-38.710577128,175.963687604
-38.710447130,175.964185589
-38.710560114,175.964744134
-38.710582130,175.965489743
-38.710548588,175.965987467
-38.710568765,175.966671058
-38.710581603,175.967106069
-38.710666475,175.968347875
-38.710847610,175.969586638
-38.711261399,175.970568459
-38.711469672,175.971120286
-38.711399366,175.971991250
-38.711323524,175.972676803
-38.711055435,175.973370714
-38.710784936,175.974003969
-38.710756875,175.974689743
-38.710877007,175.975493037
-38.710978769,175.975674666
-38.711287268,175.976342862
-38.711289094,175.976404905
-38.711497429,175.976952862
-38.712148344,175.977908763
-38.712441597,175.978139327
-38.712971556,175.978355192
-38.713541249,175.978382732
-38.714197117,175.978220325
-38.714612142,175.977949987
-38.715135165,175.977467718
-38.715722918,175.976693302
-38.715945765,175.976311663
-38.716411848,175.976283422
-38.716779944,175.976138901
-38.717234132,175.975806584
-38.717457945,175.975549600
-38.718014218,175.975638939
-38.718483725,175.975975735
-38.718679265,175.976388727
-38.719618118,175.976369864
-38.720008935,175.976745430
-38.720643955,175.976995727
-38.721132420,175.977120840
-38.721718540,175.976995493
-38.722206961,175.976807555
-38.722793064,175.976556978
-38.723281529,175.976682085
-38.723477000,175.977370762
-38.723867838,175.977996784
-38.724209781,175.978247153
-38.724405218,175.978747998
-38.724600695,175.979624508
-38.724454222,175.980188030
-38.724161214,175.980751573
-38.723477414,175.980939523
-38.722988998,175.981190041
-38.722696001,175.981878776
-38.722158717,175.981878860
-38.721865603,175.981378049
-38.721328318,175.981378136
-38.720693363,175.981566055
-38.720351486,175.981879136
-38.720009639,175.982505239
-38.719667818,175.983444356
-38.719570178,175.984007807
-38.719716746,175.984446019
-38.719570248,175.984884263
-38.719521445,175.985447701
-38.719863422,175.986511931
-38.720156558,175.987889185
-38.720449647,175.988515201
-38.720840432,175.989516838
