station, lon_dec, lat_dec, z1, z2
WT099a, 420228.964080861, 5722154.948692307, 372.26, 115.46000000000004
WT101a, 422172.657549318, 5713450.879742358, 97.04999999999995, -390.22
WT101b, 422174.2080297993, 5713443.459279851, 128.23000000000002, -465.0999999999999
WT102a, 420343.77272700507, 5720802.155646427, 252.21000000000004, -18.43999999999994
WT103a, 419976.2169187657, 5724605.042685083, 354.37, 72.32
WT104a, 420582.22439057933, 5725535.313591227, 331.86, 45.24000000000001
WT105a, 420738.8301424849, 5719970.641794822, 359.64, 264.55
WT106a, 420809.36874331767, 5723210.026575915, 277.73, -10.20999999999998
WT107a, 420288.4945273645, 5721501.324470579, 362.21000000000004, 215.69
WT108a, 421368.47555501387, 5727676.850078493, -53.370000000000005, -268.06
WT111a, 420854.20343966363, 5720347.894008017, 359.14, 157.95
WT112a, 420920.08427514497, 5719038.998017163, 370.34, 268.36
WT113a, 422843.1366847564, 5728714.417067788, 20.279999999999973, -223.47000000000003
WT114a, 420979.2672219987, 5724812.899682647, 331.43, -75.75999999999999
WT115a, 421004.3574520075, 5723666.745827169, 247.04000000000002, -292.62000000000006
WT116a, 422167.8100275588, 5726630.387563543, -120.83000000000004, -343.06000000000006
WT117b, 421128.3386349576, 5721813.970223306, 306.18999999999994, -31.28000000000003
WT118a, 420718.90333981003, 5726678.742099915, 171.47, -121.86999999999995
WT119a, 421187.5940438743, 5721021.948087246, 369.58000000000004, 207.17000000000004
WT122a, 421401.8809422552, 5722582.084536816, 290.24, -170.7
WT125a, 421623.0462227682, 5720056.174809831, 367.49, -70.57
WT126a, 421766.6902898994, 5722365.265109949, 279.07000000000005, 184.85000000000002
WT127a, 421913.3165230606, 5721264.910661163, 358.1, -90.55000000000001
WT128a, 422029.1053008395, 5719310.050928636, 383.33, -83.26999999999998
WT129a, 422105.65977138525, 5725564.401011632, 40.56999999999999, -190.79999999999995
WT130a, 421834.9097499251, 5723273.843341718, 264.78999999999996, -121.25999999999999
WT132a, 422376.8987121679, 5720673.258980552, 288.37, -13.339999999999975
WT132b, 422376.8900764276, 5720674.146721093, 294.69, -15.240000000000009
WT133a, 422496.6781254568, 5722030.795265727, 280.53000000000003, 104.07
WT134a, 427951.98631463083, 5718763.704039935, 258.67999999999995, -30.490000000000123
WT135a, 422623.72005048394, 5723119.941555203, 222.07999999999998, -0.8700000000000045
WT136a, 423021.10183071997, 5712316.043133467, -9.339999999999975, -540.92
WT138a, 422596.8311825538, 5718857.573287847, 380.25, -105.28000000000009
WT140a, 422418.10218355595, 5723901.892106288, 76.03999999999996, -286.08000000000004
WT142a, 423725.81663936307, 5719745.398098056, 285.08, -174.96999999999997
WT143a, 423528.8597195213, 5713977.965759912, 241.27000000000004, -208.82999999999993
WT148a, 427421.6736240526, 5724764.926627617, -247.73000000000002, -533.53
WT149a, 420176.39915136725, 5712929.594558892, 25.079999999999984, -193.91999999999996
WT150b, 424981.5270303041, 5726290.841385427, 30.04000000000002, -284.15
WT152a, 423247.55588382547, 5724243.169569157, -14.920000000000016, -323.67000000000013
WT153b, 423428.2326021997, 5725102.200792279, -135.82, -456.04
WT154a, 423677.7589645707, 5721131.271417958, 232.34999999999997, 113.37
WT155a, 423923.44012065954, 5718820.620769076, 365.51, -2.7999999999999545
WT156a, 423201.17699058115, 5716177.96232528, 375.51, 151.70999999999998
WT159a, 423256.27660464094, 5717834.8459310075, 424.12, 95.36000000000001
WT160a, 423866.97942687076, 5722204.010516368, 156.74, -80.44000000000005
WT164a, 423903.1171004619, 5724120.263904811, -36.75999999999999, -391.40000000000003
WT165a, 424230.12776391394, 5722785.76712363, -29.879999999999995, -304.80999999999995
WT166a, 423564.6035377362, 5717176.26690349, 444.11, 46.68000000000001
WT167a, 423609.8842305107, 5721431.149195713, 133.06000000000006, -153.2399999999999
WT168a, 424494.97024128016, 5718281.706796082, 330.74999999999994, -102.30000000000007
WT170b, 426311.3839298633, 5713571.611112379, 387.88, -292.75
WT171a, 426750.0943166437, 5719387.542448893, 241.44000000000003, 39.27999999999997
WT172a, 424332.7772620077, 5724868.444265495, -72.73999999999995, -369.00999999999993
